JASSO Scholarship Pamphlet 2025-2026 — Sortable Master List,,,,,,,,,,,,,,,,,,,,
"Source: Japan Student Services Organization (JASSO) Scholarship for International Students in Japan 2025-2026. Use the filter dropdowns on each column to narrow by country, field, age limit, etc. Sections: III = Local Govts, IV = Private Foundations, V = For applicants residing abroad. Sub-entries under one foundation use suffix numbering (e.g., 61-1, 61-2). Qualifier codes: HS=High School, CT=College of Technology, ST=Specialized Training, UJ=Univ Japanese Program, JL=Japanese Lang Institute, JC=Junior College, A=Auditors (Undergrad), U=Undergrad, R=Research Student, P=Professional Degree, M=Master's, D=Doctoral. Selection: D=Document, I=Interview, W=Written exam, O=Others.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Section,No.,Foundation,Scholarship Name,Address / Contact,Inquiry,Application,Qualifier (School Year),Age Limit,Designated Countries/Regions,Designated Schools in Japan,Designated Fields of Study,Plural Grants,Non-Student Visa OK,Additional Requirements,"Contents (¥1,000)",Duration,Application Period,Selection Method,Grantees,Grantees / Applications (Prev Year)
IV. Private Foundations,65,"Hasegawa International
Scholarship Foundation
（公財）長谷川留学生奨学財団",,"Wakamatsu building F7, 3-3-6,
Nihonbashi-honcho, Chuo-ku,
Tokyo 103-0023
Tel 03-5205-7551
www.hasegawa-zaidan.or.jp/
office@hasegawa-zaidan.or.jp",S,S,"JC
U
M
D",−,Asia,Tokyo,−,"Y
(Excluding
government-
sponsored
students)",N,"Residents of Tokyo
School
recommendation
is required
(individual application
is not possible)
Communication in
Japanese is required","JC・U
100/M
M 120/M
D 150/M",Up to 2y,"Mid Oct.-
Mid Nov.","D, I",40-50,"42/67
(2024)"
,,,,,,,,,,,,,,,,,,,,
IV. Private Foundations,67,"Fast Retailing Foundation
(FRF)
（一財）ファーストリテイリン
グ財団","FRF Scholarship for Studying
in Japan for Vietnamese","Midtown Tower, 9-7-1 Akasaka,
Minato-ku, Tokyo 107-6231
www.fastretailing-foundation.or.jp/
eng/
FR-Vietnam_Scholarship@
fastretailing-foundation.or.jp",F,F,U,"19 or
under",Vietnam,"Designated
schools（Refer to
the website）",−,N,N,,"Max
4000/y
（Refer
to the
website）","4y-4.5y
（Refer
to the
website）","July -
Late Aug.","D,I",10,−
IV. Private Foundations,68,"Heiwa Nakajima Foundation
（公財）平和中島財団","Scholarship for Foreign
Students in Japan",Please contact your school directly,S,S,U(2-4),−,−,−,−,N,N,,120/M,1y,"Early Sep.-
End of Oct.",D,70,70/293
IV. Private Foundations,69,"Benesse Corporation
（株）ベネッセコーポレーショ
ン","JAPAN STUDY SUPPORT
Scholarships","2-1-1, Nishi-Shinjuku, Shinjuku-ku,
Tokyo 163-0415
www.jpss.jp/en/my/scholarship/
application/
inquiry@abk.or.jp",F,F,"U
M
D",−,−,−,−,"Y
100/Y",N,"Application
requirements
will be updated
on JPSS website",100/Y,1y,"July 1 -
Aug.31","D, I",2,−
IV. Private Foundations,70,"Horse Future Welfare
Foundation
（公財）ホース未来福祉財団","Scholarship for Foreign
Students","2-17-8, Minamiyukigaya,Ota-ku,
Tokyo 145-0066
Tel 03-3720-5800
Fax 03-4496-4948
https://horse-fw.or.jp
info@horse-fw.or.jp",F,F,"ST(2 -）
JC(2 -）
U(2 -）",−,−,"Tokyo
Metropolitan",−,Y,N,,35/M,"Minimum
years
required for
graduation/
completion","Mar.15-
May 15
(plan)",D,TBD,2/9
IV. Private Foundations,71,"Honjo International
Scholarship Foundation
（公財）本庄国際奨学財団",,"1-14-9 Tomigaya, Shibuya-ward,
Tokyo 151-0063
Tel 03-3468-2214 Fax 03-3468-2606
www.hisf.or.jp/en/scholarship/
foreigner/info@hisf.or.jp",F,F,D,"Must start
the course
by the age
of 35",−,−,−,N,Y,"Recipients are
required to work in
home country after
graduation",180/M,4y-5y,Sep.-Oct.,"D, I","Appro
ximately
ten","Fall
Scholarship:
6/464
Spring
Scholarship:
4/321"
IV. Private Foundations,72,"M. Maeda Memorial Trust
（公益信託）前田増三記念
奨学基金",,"Sumitomo Mitsui Trust Bank，
Private Asset Management
Department，Public Trust Group
3-33-1 Shiba, Minato-ward, Tokyo
105-8574
Tel 03-5232-8910",S,S,M(1-2),under 30,−,"U of Tokyo, Chiba
U, Keio U, Waseda
U, Tokyo U of
Foreign Studies","Cultural
Sciences,
Social Science",Y 100/M,N,"University
recommendation
required",50/M,2y,June 2,D,2,2/5
IV. Private Foundations,73,"Miura Educational Foundation
（公財）三浦教育振興財団",,"1-1-2 Ote-machi, Matsuyama,
Ehime 790-0067
Tel 089-932-0020
Fax 089-932-1414
www.miura-fdn.com/scholarship/","F
・
S",F,"HS
CT",−,−,Ehime pref.,−,Y,N,"University
recommendation
required",35/M,"Minimum
years
required for
graduation/
completion","Around
Feb.
(enrolled
students)
Around
Apr. (new
students)",D,55,15/16
IV. Private Foundations,74,"Miki Takeo Kokusaiikuei Kikin
（公益信託）三木武夫国際育英
基金",,"2-24-1, Nishisenbacho,
Tokushimacity, Tokushima
770-8601
Tel 088-656-7739
Fax 088-623-3549",S,S,"CT
JC
U
R
M
D",−,−,Tokushima pref.,−,Y,N,"Residents in
Tokushima",300/Y,1y,"Apr. 1-
Early May",D,1-4,5/13
IV. Private Foundations,75,"Mizuho International
Foudation
（公財）みずほ国際交流
奨学財団",,"1-6-1 Marunouchi, Chiyoda-ku,
Tokyo100-0005
Tel 03-5288-5906
Fax 03-5288-3134
http://mizuhokokusai.la.coocan.jp/
report2.html
fbifyume@mb.infoweb.ne.jp",S,S,"U
R
M
D","35 or
under",−,−,"Social
Science or
Humanities,
Technology",N,N,,120/M,2y,May-June,"D, I",14,14/35
IV. Private Foundations,76,"Mitani Scholarship Foundation
（公財）三谷育英会",Mitani Scholarship,"16-1 Syowa-machi, Kanazawa-city,
Ishikawa 920-0856
Tel 076-233-2303 Fax 076-265-6880",S,S,"U
M
D","35 or
under",−,"Kanazawa U,
Fukui U, JAIST,
Toyama U","Technology,
Law,
Economics,
Management",Y 10/M,N,,53/M,"Minimum
years
required for
graduation/
completion","Apr.-
Early May",D,Not fixed,3/14
IV. Private Foundations,77,"Mitsubishi Gas Chemical
Memorial Foundation
（公財）三菱ガス化学記念財団",,"2-5-2 Marunouchi, Chiyoda-ku,
Tokyo 100-8324
Tel 03-3283-5047
www.mgc.co.jp/foundation/
activities/",S,S,"D
M
U(1-4)",−,"Indonesia,
Cambodia,
Singapore,
Thailand,
Philippines,
Brunei,Vietnam,
Malaysia,
Myanmar,Laos","U of Tokyo,
Science Tokyo,
Tokyo U of
Science,
Keio U,Waseda U,
Tohoku U,
U of Tsukuba,
Kyoto U,Osaka U","Majors related
to Chemistry
or Chemical
engineering
(Majors that
include chemical
approaches)","Available:
tuition
exemption
(reduction),
temporary
scholarships",N,"School
recommendation
required,
Japanese
communication
skills are required
(Equivalent to N3
level or above of
Japanese Language
Proficiency Test),
Attendance at
exchange meeting is
required","U150/M
M180/M
D200/M","Minimum
years
required for
graduation/
completion
（Continuation
of further
study
possible）","Mid Feb.-
Mid May
Mid July-
Early Oct.","D,I","Spring 4
Autumn 2","Spring3/2
Autumn
2/4"
IV. Private Foundations,78,"Mitsubishi UFJ Foundation
（公財）三菱 UFJ 国際財団","Mitsubishi UFJ Foundation
Scholarship","Mitsubishi UFJ Foundation
2-4-3 Shiba, Minato-ward, Tokyo
105-0014
Tel 050-3649-8859",S,S,"M
D","30 or
under",,"U of Tokyo,
Hitotsubashi U,
Waseda U, Keio U",−,N,N,,130/M,1y,May,"D, I",Up to 12,12/12
IV. Private Foundations,79,"The Mitsubishi UFJ Trust
Scholarship Foundation
（公財）三菱 UFJ 信託奨学財
団","The Mitsubishi UFJ Trust
Scholarship Foundation
Scholarship","Nihombashi building 3F
2-2-4 Nihombashi, Chuo-ward,
Tokyo 103-0027
Tel 03-3275-2215
Fax 03-3275-2409
www.scholarship.or.jp/english/
program/contents/en_application.
html
office@scholarship.or.jp
info@scholarship.or.jp",S,S,U(2-4),"31 or
under",−,"Designated
schools(Refer to
the website)",−,Y,N,"School
recommendation
required",75/月,"Minimum
years
required for
graduation/
completion",Mar.-May,D,"Same as
last year","6/6
(2024)"
IV. Private Foundations,80,"Moriya Foundation
（公財）守屋留学生交流協会",Moriya Scholarship,"3-29 Kanda Jimbocho, Chiyoda-ku,
Tokyo 101-0051
Tel 03-3263-7952 Fax 03-3262-7770",S,S,"M(1)
D",under 35,Asia,"Komazawa U,
Sophia U,
Meiji U,
Tokyo Metropolitan U,
Takushoku U,
Tokyo Gakugei U,
Tokyo U of
Foreign Studies,
Waseda U,
Rikkyo U,
Aoyama Gakuin U,
ICU","Geography,
History,
Pedagogy,
Social Science",N,N,,100/M,2y (Apr.-),Apr. 1-28,D,6,6/13
IV. Private Foundations,81,"Yamaoka Scholarship
Foundation
（公財）山岡育英会",,"1-27, Chayamachi, Kita-ku, Osaka,
530-0013
Tel 06-6376-6281 Fax 06-6376-8103
yd_ikuei@yanmar.com",S,S,"M(1)
D(2)",Under 35,"East and
Southeast Asia","Ehime U,
Kagoshima U,
Ritsumeikan Asia
Pacific U","Technology,
Agriculture,
Social
Sciences",Y 50/M,N,,100/M,2y,"Mar. 10
-Apr. 10","D, I",4,4/8
IV. Private Foundations,82,"YONEX Sports Foundation
（公財）ヨネックススポーツ振
興財団",Scholarship,"3-23-13 Yushima, Bunkyo-ku,
Tokyo 113-8543
Tel 03-3839-7195
Fax 03-3839-7196
www.yonexsports-f.or.jp
zaidan@yonex.co.jp",F,F,HS,Under 30,−,−,−,Y,N,"1. Students who have
exceptional athletic
ability in sports
2. Junior athletes or
prospective sports
coaches who aim at
promotion of sports
3. Recommendation
letters from school
principal and sports
coach required
*Please refer to the
website for details",Up to 40/M,"1y
(Apr.- Mar.)","Sep.-
Nov.
(Online
Application)",D,about 50,"58(0)/
270(2)
( ) = No.of
Int'l
students"
IV. Private Foundations,83,"Rotary Yoneyama Memorial
Foundation
（公財）ロータリー米山記念
奨学会",,"Kokuryu-Shibakoen-bldg. 3F, 2-6-15
Shiba Koen, Minato-ku, Tokyo
105- 0011
Tel 03-3434-8681
Fax 03-3578-8281
www.rotary-yoneyama.or.jp/
english/scholarships",F,S,"U(3-4)
(5-6;
Medicine,
Dentistry,
Veterinary)","Under 45
at the
commen
cement
of
payment",−,"The designated
schools
for next year
are announced
every Early August
on the website",−,N,N,,100/M,1y or 2y,"Early Aug.-
Oct. 15","D, I
(W:in
some
areas)",about 700,"612/
1202
(2024)"
IV. Private Foundations,84,"Rohm Music Foundation
（公財）ロームミュージック
ファンデーション","Rohm Music Foundation
Scholarship","44 Nishimizosaki-cho, Saiin,
Ukyoku,
Kyoto-city, Kyoto 615-0046
Tel 075-311-7710
Fax 075-311-0089
www.rmf.or.jp/jp/recruitment/
subsidy/index.html",F,F,"HS
JC
U
M
D",−,−,−,Music,Y,Y,"Attendance at Practical
exam and Interview
held around March is
required",300/M,"1y or Up to
graduation
/completion",June-Sep.,"D, I, O",About 30,"30
(Grantees)
(Including
Japanese
students)"
IV. Private Foundations,85,"The Kazuko Watanabe
Memorial Scholarship
Foundation of Notre Dame
（財）渡辺和子記念
ノートルダム育英財団",,"Notre Dame Seishin University
2-16-9 Ifuku-cho, Kita-ward,
Okayama-city, Okayama 700-8516
Tel 086-252-3024 Fax 086-252-3024",S,S,"M
D
U(2-4)
JC",−,−,Okayama pref.,−,N,N,Travel expenses,"M 50/M
D 50/M
U 45/M
JC40/M",1y,"Early Apr.-
Early May
(depends on
the school)","D, I","M about5
D
U about13
JC about4",19/50
IV. Private Foundations,86,"Watanuki International
Scholarship Foundation
（公財）綿貫国際奨学財団",,"5-45 Chibaminato, Chuo-ku, Chiba
city, Chiba 260-0026",S,S,"M
D",−,"East, Southeast,
South Asia,
Oceania, South
Pacific Countries","21 designated
universities
（Contact the
school）",−,N,N,"We do not accept
inquiries from
students",150/M,"1y
(maximum
of 3 years)",Aug.-Oct.,"D, I",About 47,"56
(Grantees)"
V. For Applicants Residing Abroad,1,"Aichi Prefectural
Government
愛知県",Aichi Scholarship Program,"International Affairs Division,
Aichi Prefectural Government
3-1-2 Sannomaru, Naka-ku, Nagoya,
Aichi 460-8501
Tel 052-954-6180 Fax 052-951-2590
www.pref.aichi.jp/soshiki/kokusai/
aichi-scholarship-program.html
kokusai@pref.aichi.lg.jp",S,S,"R(1)
M(1-2)","Under
35 (As of
Apr. 1)",−,Aichi pref.,"Field
recognized
as pertinent
to the support
of Aichi's
industry",N,N,"Applicants must have
the intention to seek
employment at a
company that has its
headquarters, or a
branch office located
within Aichi (whether
or not work placement
should fall in Japan)","Living
allowance
(150/M),
Travel
expense
to Japan,
School
expenses
(entrance
examination
fee，
entrance
fee,tuition)",2.5y,"Late Feb.-
Mid May",D,5,"5
(grantees)"
V. For Applicants Residing Abroad,2,"Akebono Foundation
あけぼの財団",,"5F grandir ginza east, 1-8-2 Shintomi,
Chuo-ku, Tokyo 104-0041
Tel 03-6275-2980
https://akebono-foundation.org/
info@akebono-foundation.org",F,F,"HS
CT
JC
U
R
P
M
D","30 or
under","Hungary, Bulgaria,
Romania, Serbia,
Kosovo,
North Macedonia,
Albania,
Montenegro,
Bosnia-
Herzegovina,
Croatia, Moldova,
Ukraine",−,−,"Y
（200/m）",N,−,200/m,2y,"Mar.
June
Sep.
Dec.","D, I, O",3,3/100
V. For Applicants Residing Abroad,3,"IINPEX Scholarship
Foundation
（公財）INPEX 教育交流財団",INPEX Scholarship,"34th Floor, Akasaka Biz Tower,
Akasaka 5-3-1, Minato-Ku, Tokyo
107-6332
Tel 03-5572-0602 Fax 03-5572-0603
www.inpex-s.com/en/index.php#appli",F,F,"R
M",Under 30,Indonesia,−,"Natural
Science and
Technology",N,N,"Prestigious university
graduates
GPA: more than 3.00","160/M,
Full tuition,
Travel
expense
for the
academic
meetings
(Up to 100/
Y)
Arrival
money 60,
Round trip
ticket, 6
months
Japanese
language
school fee","Within 32m
(including
6m for
studying
Japanese
language)","Aug. 1
-Oct. 31","D, I","Maximum
of 3",3/80
V. For Applicants Residing Abroad,4,"Okazaki Kaheita international
Scholarship Foundation
（公財）岡崎嘉平太国際奨学財
団",,"1-5-2, Higashi-Shimbashi, Minato-ku,
Tokyo 105-7140
Tel 03-6735-5850 Fax 03-6735-5855
www.okazakizaidan.or.jp/en/ en-
info/",S,S,M,Under 25,"China, Thailand,
Indonesia,
Malaysia,
Vietnam,
Myanmar, Taiwan",−,"Excluding
medicine,
dentistry and
veterinary
science",N,N,"Including one year of
Japanese language
study at a Japanese
language school
specified by the
foundation or
one year of auditing
a postgraduate course","JL・R: 100/
M
M: 120/M
Entrance
and tution
fees, school
examination
fees,
Travelling
expenses
(round trip),
housing
cost, cost
of student
commuter
rail/bus
pass","JL・R: 1y
M: 2y","Nov. -Feb.
Jan. -Mar.","D, W, I","It
depends
on the
year
1 to 4
people
every
year",4/12
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
V. For Applicants Residing Abroad,5-2,"Kyoritsu International
Foundation
（一財）共立国際交流奨学財団",Young Steel Scholarship,"Ayabe Building 4F, 2-17-3 Sotokanda,
Chiyoda-ward,
Tokyo 101-0021
Tel 03-5295-0205
Fax 03-5295-0206
www.kif-org.com
kif-info@dormy.co.jp",,,"ST
U",,Korea,,,,,,,,,,2,"2
(grantees)"
V. For Applicants Residing Abroad,6,"Toka Kyoiku Bunka Koryu
Zaidan
（公財）東華教育文化交流財団",,"8-2-12 Ginza, Chuo-ward, Tokyo
104-0061
Tel 03-3571-7613 Fax 03-3572-5943
www.donghua.or.jp
info@donghua.or.jp",F,F,"U(3-)
M
D",−,"China,
Hong kong,
Macau, Taiwan",−,−,Y 50/M,N,"Junior, Senior,
Master's/ PhD
student",100/M,within 2y,"Nov. 1-
Nov. 20",D,10,6/174
V. For Applicants Residing Abroad,7,"The Japan-United States
Educational Commission
(Fulbright Japan)
Fulbright Grants",,"Institute of International Education
(IIE) One World Trade Center,
36th Floor New York, NY 10007
www.iie.org
https://us.fulbrightonline.org/",F,S,"U:recent
university
graduates",−,U.S. citizen,−,−,N,N,"Dual Japan-U.S.
citizens are not eligible
Applicants who are
studying, conducting
research, or have been
employed in Japan are
ineligible
At least two years of
college-level Japanese
language study or
equivalent is required","All
expenses",10m,"Apr. -
Early Oct.
of the
preceding
year",D,6,"7
(grantees)"
V. For Applicants Residing Abroad,8,"Japan Educational
Exchanges and Services
(JEES)
（公財）日本国際教育支援協会
JEES・Ishibashi","Foundation
Scholarship(Inbound)
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges and Services
Office
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,"M
D
R",−,−,−,Art history,−,N,,150/M,2y,"Spring Term:
Jan.-Apr.
Fall Term:
June-Sep.",D,5,"0
（Grantees）"
V. For Applicants Residing Abroad,8-1,"Japan Educational
Exchanges and Services
(JEES)
（公財）日本国際教育支援協会
JEES・Ishibashi","Sumitomo Corporation
International Student
Scholarship
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges and Services
Office
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",,,U,,China,"Designated
schools
(Contact the
school)",−,N,,"Exchange Students
planning to study one
year in Japan","100/M
Round trip
Air Ticket",Up to 1y,Mar.-May,,15,"8
（Grantees）"
V. For Applicants Residing Abroad,9,"Japan Dental Association
（公社）日本歯科医師会",,"4-1-20 Kudan-Kita, Chiyoda-ku,
Tokyo 102-0073
Tel 03-3262-9212
Fax 03-3262-9885",F,F,"M
R
D",−,"Asia Pacific and
African region",−,Dentistry,Y,N,,150/M,1m-12m,"Deadline:
Sep. 30",D,2-3,Closed
V. For Applicants Residing Abroad,10,"JAPAN TAIWAN EXCHANGE
ASSOCIATION
（公財）日本台湾交流協会",,"7F Aoba Roppongi Bldg. 3-16-33
Roppongi, Minato-ward, Tokyo
106-0032
Tel 03-5573-2600
Fax 03-5573-2601",F,F,"M
D
P",Under 35,Taiwan,−,−,N,N,,"144-148/M,
Round trip
air ticket,
Tuition, etc.","Minimum
period
required for
graduation
of master
or doctor
course",Feb.-Mar.,"D, I",Not fixed,52/108
,,,,,,,,,,,,,,,,,,,,
V. For Applicants Residing Abroad,11,"NOMURA FOUNDATION
（公財）野村財団",,"Toyosu Bayside Cross Tower
2-2-1, Toyosu, Koto-ku, Tokyo
135-0061
Tel 03-6741-6320
www.nomurafoundation.or.jp/en/
category_topscholar",F,F,"M
D","35 or
under",−,"U of Tokyo,
Hitotsubashi U ,
Kyoto U, Osaka U,
Waseda U, Keio U","Social
Science,
Humanities",Y 50/M,N,"Fill out the date of the
examination result
announcement
if the application
is submitted before
the school admission",200/M,2y,Sep.,"D, I",10,Closed
V. For Applicants Residing Abroad,12,"Fast Retailing Foundation
(FRF)
（一財）ファーストリテイリン
グ財団","FRF Scholarship for Studying
in Japan for Vietnamese","Midtown Tower, 9-7-1 Akasaka,
Minato-ku, Tokyo, 107-6231
www.fastretailing-foundation.or.jp/
eng/
FR-Vietnam_Scholarship@
fastretailing-foundation.or.jp",F,F,U,"19 or
under",Vietnam,"Designated
schools（Refer to
the website.）",−,N,N,,"Max 4000/y
（Refer
to the
website.）","4y-4.5y
（Refer
to the
website.）","July-
Late Aug.","D, I",10,−
V. For Applicants Residing Abroad,13,"U.S.-Japan Council
米日カウンシル","Toshizo Watanabe Study
Abroad Scholarship","1819 L Street, NW Suite 200
Washington, DC 20036
www.usjapancouncil.org/watanabe-
scholarship
watanabescholarship@
usjapancouncil.org",F,F,"U
M
D",−,USA,−,−,"Y
(Cannot
exceed
cost of
study
abroad)",N,"US citizen or
permanent resident,
demonstrates
financial need for
international study,
person from single
parent household
(preferred), first in
family to attend/
graduate from college
(preferred)","Up to the
full cost
of study
abroad
($25,000
max./y for
graduate
students)",4m-1y,"Jan.-
Mid Feb.
(Subject to
change)",D,Not fixed,Closed
V. For Applicants Residing Abroad,14,"Honjo International
Scholarship Foundation
（公財）本庄国際奨学財団",,"1-14-9 Tomigaya, Shibuya-ward,
Tokyo 151-0063
Tel 03-3468-2214
Fax 03-3468-2606
www.hisf.or.jp/en/scholarship/
foreigner/
info@hisf.or.jp",F,F,D,"Must
start the
course
by the age
of 35",−,−,−,N,Y,"Recipient is required
to work in home
country after
graduation",180/M,4y -5y,Sep.-Oct.,"D, I","Approxima
tely ten","Fall
Scholarship:
6/464
Spring
Scholarship:
4/321"
V. For Applicants Residing Abroad,15,"Yoshida Scholarship
Foundation
（公財）吉田育英会",YKK Leaders 21,"YKK60 Building 3-22-1 Kamezawa,
Sumida-ward, Tokyo 130-8521
Tel 03-5610-8103
Fax 03-5610-8104
www.ysf.or.jp/englishpage/
webmaster@ysf.or.jp",F,S,M(1),Under 30,"India, ASEAN,
Pakistan,
Sri Lanka,
Bangladesh,
Nepal, Bhutan,
Mongolia, West
Asia, Central Asia,
Africa","Designated
schools in Japan
listed below
U of Tokyo,
Science Tokyo,
Keio U, Waseda U,
Kyoto U,
Doshisha U,
Kwansei Gakuin U,
Nagoya U,
Osaka U,
Kyushu U","Natural
Science or
Engineering",N,N,"Recommendation of
designated schools
in Japan required
Examination result
before arriving in
Japan required","Tuition
max 2,500,
Travel Fee,
Stipend
200/M,
Spouse
Allowance
20/M",Up to 2y,"Please
contact the
designated
schools
in Japan",D,A few,"4
(grantees)"
V. For Applicants Residing Abroad,16,"Rotary Yoneyama Memorial
Foundation
（公財）ロータリー米山記念奨
学会",,"Kokuryu-Shibakoen-bldg. 3F, 2-6-15
Shiba Koen, Minato-ku, Tokyo
105-0011
Tel 03-3434-8681
Fax 03-3578-8281
www.rotary-yoneyama.or.jp/
english/overseas",F,F,U,"Under 45
at the
commen-
cement of
payment",−,"Application guide
for next year is
announced
every Early August
on the website",−,N,N,,100/M,2y,"Oct.1 -
Oct. 31",D(I),A few,"9/49
(2024)"
V. For Applicants Residing Abroad,17,"Japan Student Services
Organization(JASSO)
（独）日本学生支援機構","Reservation Program for
Monbukagakusho Honors
Scholarship for Privately-
Financed International
Students
（For examinees who
achieve a superior score on
the EJU）
*Please see P.5","International Scholarship Division
2-2-1 Aomi, Koto-ku, Tokyo 135-8630
Tel 03-5520-6030
Fax 03-5520-6031
www.jasso.go.jp/en/ryugaku/
scholarship_j/shoreihi/yoyaku_eju/
index.html",F,F,"ST
CT
(3-5,Advanced
course)
JC
U",−,−,−,−,Y,N,"*Applicants must take the
EJU and enroll as regular
students in a university,
a junior college, college
of technology or a
specialized training
college in Japan during
the specified period.
*Privately-financed
students
who fulfill the eligibility
/ conditions for applying
for and receiving Honors
Scholarship",48/M,6m or 1y,"Same as the
application
period of
the EJU","D
(by the
EJU
score)","1,500
(expected
number)
＊ including
the
number of
reservation
in Japan",−
V. For Applicants Residing Abroad,17-1,"Japan Student Services
Organization(JASSO)
（独）日本学生支援機構","Student Exchange Support
Program
（Scholarship for Study in
Japan under Agreement）
*Please see P.6","www.jasso.go.jp/en/ryugaku/
scholarship_j/ukeire.html",S,S,"ST
CT
(3-5,Advanced
course)
JC
U
M
D",,"All countries that
have diplomatic
relations with
Japan (applicants
from Taiwan and
Palestine are
acceptable)",,,"Y
80/M or
less","Y
(90d
or less)","Qualified international
Students accepted
by Japanese school
under the student
exchange agreement
or student exchange
arrangement with
their home school for
from 8 days to 1 year",80/M,8d-1y,"Please
contact
the home
school
outside
Japan",−,"5,200
(expected
number)",
